first_year,mobility_window,n_researcher,n_mobile,r_n_mobile,prop_research,prop_mobile
2018,5,1103964,50854,8452,0.007656047,0.166201282
2003,7,360019,37860,2742,0.007616265,0.072424723
2001,7,313686,32808,2377,0.007577641,0.072451841
2000,7,296448,31039,2242,0.007562878,0.072231708
2012,1,748658,59044,5590,0.007466694,0.094675158
2006,7,483322,47148,3606,0.007460865,0.076482566
2002,7,332396,35261,2472,0.007436913,0.070105783
2011,1,706257,57416,5242,0.007422227,0.091298593
2015,6,893195,58812,6599,0.007388084,0.112204992
2005,7,435076,43559,3202,0.007359634,0.073509493
2007,7,504533,47861,3692,0.007317658,0.077140051
2004,7,405023,40941,2961,0.007310696,0.072323588
2013,1,814658,60176,5896,0.007237393,0.097979261
2008,7,538841,49784,3896,0.007230333,0.078258075
2009,7,579483,52476,4188,0.007227132,0.079807912
2016,1,934912,57589,6746,0.007215652,0.117140426
2015,1,893195,58812,6382,0.007145136,0.108515269
2014,1,868276,60608,6179,0.007116401,0.101950238
2010,7,641659,54592,4526,0.007053591,0.08290592
2020,2,1395557,37876,9745,0.006982875,0.257286936
2016,6,934912,57589,6513,0.006966431,0.113094515
2013,7,814658,60176,5410,0.006640824,0.089902951
2017,6,1017830,54809,6718,0.006600316,0.122571111
2017,1,1017830,54809,6715,0.006597369,0.122516375
2021,2,1451730,26843,9573,0.006594201,0.356629289
2011,7,706257,57416,4643,0.006574094,0.080865961
2020,4,1395557,37876,9130,0.006542191,0.241049741
2021,3,1451730,26843,9374,0.006457124,0.34921581
2019,5,1215079,44757,7790,0.006411106,0.174050986
2019,1,1215079,44757,7789,0.006410283,0.174028644
2012,7,748658,59044,4774,0.006376743,0.080854956
2018,1,1103964,50854,6974,0.006317235,0.137137688
2003,8,360019,37860,2224,0.006177452,0.058742736
2004,8,405023,40941,2474,0.006108295,0.060428421
2006,8,483322,47148,2946,0.006095315,0.062484093
2014,7,868276,60608,5266,0.006064892,0.08688622
2020,1,1395557,37876,8308,0.005953179,0.219347344
2005,8,435076,43559,2579,0.0059277,0.059207053
2000,8,296448,31039,1749,0.005899854,0.056348465
2009,8,579483,52476,3414,0.005891458,0.065058312
2007,8,504533,47861,2967,0.005880686,0.061992019
2008,8,538841,49784,3160,0.005864439,0.063474209
2002,8,332396,35261,1940,0.005836412,0.055018292
2018,6,1103964,50854,6390,0.005788232,0.125653833
2001,8,313686,32808,1805,0.005754162,0.055017069
2015,7,893195,58812,5094,0.005703122,0.086614977
2016,7,934912,57589,5308,0.00567754,0.09217038
2012,8,748658,59044,4133,0.005520545,0.069998645
2010,8,641659,54592,3527,0.005496689,0.064606536
2021,1,1451730,26843,7896,0.005439028,0.294154901
2022,2,1476536,15476,7861,0.005323947,0.50794779
2011,8,706257,57416,3660,0.00518225,0.063745297
2022,1,1476536,15476,7615,0.005157341,0.49205221
2017,7,1017830,54809,5062,0.004973326,0.092357095
2004,9,405023,40941,1995,0.004925646,0.048728658
2000,9,296448,31039,1423,0.004800167,0.045845549
2013,8,814658,60176,3903,0.004790967,0.064859745
2005,9,435076,43559,2080,0.004780774,0.047751326
2003,9,360019,37860,1720,0.004777526,0.045430534
2002,9,332396,35261,1552,0.00466913,0.044014634
2015,8,893195,58812,4148,0.004644003,0.070529824
2006,9,483322,47148,2236,0.004626315,0.047425129
2007,9,504533,47861,2334,0.00462606,0.048766219
2001,9,313686,32808,1444,0.004603329,0.044013655
2008,9,538841,49784,2431,0.004511535,0.04883095
2014,8,868276,60608,3902,0.004493963,0.06438094
