region_destination,period_first_mobility,n_mobile_active_destination_period,region_origin,n_mobile,prop_mobile
Western & Northern Europe,3,70428,Eastern Asia,5570,0.079087863
Western & Northern Europe,3,70428,Central Asia & Eastern Europe,4087,0.058030897
Western & Northern Europe,3,70428,Middle East & North Africa,2855,0.040537854
Western & Northern Europe,3,70428,South Asia,2538,0.036036804
Western & Northern Europe,3,70428,Latin America & Caribbean,2516,0.035724428
Western & Northern Europe,3,70428,Oceania,2286,0.032458681
Western & Northern Europe,3,70428,CA,2189,0.031081388
Western & Northern Europe,3,70428,South-eastern Asia,1261,0.017904811
Western & Northern Europe,3,70428,Sub-Saharan Africa,1009,0.014326688
Western & Northern Europe,4,95003,Western & Northern Europe,32144,0.33834721
Western & Northern Europe,4,95003,Southern Europe,15769,0.165984232
Western & Northern Europe,4,95003,US,10571,0.11127017
Western & Northern Europe,4,95003,Eastern Asia,8727,0.091860257
Western & Northern Europe,4,95003,Central Asia & Eastern Europe,5402,0.056861362
Western & Northern Europe,4,95003,Latin America & Caribbean,4463,0.046977464
Western & Northern Europe,4,95003,Middle East & North Africa,4453,0.046872204
Western & Northern Europe,4,95003,South Asia,4035,0.042472343
Western & Northern Europe,4,95003,Oceania,3079,0.032409503
Western & Northern Europe,4,95003,CA,2670,0.028104376
Western & Northern Europe,4,95003,South-eastern Asia,2084,0.021936149
Western & Northern Europe,4,95003,Sub-Saharan Africa,1606,0.016904729
Western & Northern Europe,5,112155,Western & Northern Europe,34217,0.30508671
Western & Northern Europe,5,112155,Southern Europe,14420,0.128572065
Western & Northern Europe,5,112155,Eastern Asia,11670,0.104052427
Western & Northern Europe,5,112155,US,10567,0.094217824
Western & Northern Europe,5,112155,Middle East & North Africa,7808,0.069617939
Western & Northern Europe,5,112155,South Asia,7746,0.069065133
Western & Northern Europe,5,112155,Central Asia & Eastern Europe,7618,0.067923855
Western & Northern Europe,5,112155,Latin America & Caribbean,6369,0.056787482
Western & Northern Europe,5,112155,Sub-Saharan Africa,3251,0.02898667
Western & Northern Europe,5,112155,Oceania,2877,0.025651999
Western & Northern Europe,5,112155,South-eastern Asia,2867,0.025562837
Western & Northern Europe,5,112155,CA,2745,0.024475057
