region_origin,period_first_mobility,sum_mobile_origin_period,region_destination,n_mobile,prop_mobile
Central Asia & Eastern Europe,2,6828,Sub-Saharan Africa,28,0.004100762
Central Asia & Eastern Europe,3,9450,Western & Northern Europe,4087,0.432486772
Central Asia & Eastern Europe,3,9450,US,2322,0.245714286
Central Asia & Eastern Europe,3,9450,Central Asia & Eastern Europe,1138,0.12042328
Central Asia & Eastern Europe,3,9450,Southern Europe,634,0.067089947
Central Asia & Eastern Europe,3,9450,Eastern Asia,293,0.031005291
Central Asia & Eastern Europe,3,9450,CA,289,0.030582011
Central Asia & Eastern Europe,3,9450,Middle East & North Africa,210,0.022222222
Central Asia & Eastern Europe,3,9450,Oceania,138,0.014603175
Central Asia & Eastern Europe,3,9450,South-eastern Asia,110,0.011640212
Central Asia & Eastern Europe,3,9450,Latin America & Caribbean,84,0.008888889
Central Asia & Eastern Europe,3,9450,Sub-Saharan Africa,82,0.008677249
Central Asia & Eastern Europe,3,9450,South Asia,63,0.006666667
Central Asia & Eastern Europe,4,14038,Western & Northern Europe,5402,0.384812651
Central Asia & Eastern Europe,4,14038,US,3067,0.218478416
Central Asia & Eastern Europe,4,14038,Central Asia & Eastern Europe,2423,0.172602935
Central Asia & Eastern Europe,4,14038,Southern Europe,795,0.056631999
Central Asia & Eastern Europe,4,14038,Middle East & North Africa,543,0.038680724
Central Asia & Eastern Europe,4,14038,Eastern Asia,543,0.038680724
Central Asia & Eastern Europe,4,14038,CA,338,0.024077504
Central Asia & Eastern Europe,4,14038,Sub-Saharan Africa,248,0.017666334
Central Asia & Eastern Europe,4,14038,South-eastern Asia,240,0.017096452
Central Asia & Eastern Europe,4,14038,Oceania,195,0.013890868
Central Asia & Eastern Europe,4,14038,Latin America & Caribbean,134,0.009545519
Central Asia & Eastern Europe,4,14038,South Asia,110,0.007835874
Central Asia & Eastern Europe,5,20853,Western & Northern Europe,7618,0.365319139
Central Asia & Eastern Europe,5,20853,Central Asia & Eastern Europe,3691,0.177000911
Central Asia & Eastern Europe,5,20853,US,3509,0.16827315
Central Asia & Eastern Europe,5,20853,Southern Europe,1409,0.067568216
Central Asia & Eastern Europe,5,20853,Middle East & North Africa,1244,0.059655685
Central Asia & Eastern Europe,5,20853,Eastern Asia,904,0.043351077
Central Asia & Eastern Europe,5,20853,Sub-Saharan Africa,637,0.030547163
Central Asia & Eastern Europe,5,20853,South-eastern Asia,501,0.02402532
Central Asia & Eastern Europe,5,20853,CA,475,0.022778497
Central Asia & Eastern Europe,5,20853,South Asia,449,0.021531674
Central Asia & Eastern Europe,5,20853,Oceania,236,0.011317316
Central Asia & Eastern Europe,5,20853,Latin America & Caribbean,180,0.008631852
Eastern Asia,1,3873,US,1834,0.473534728
Eastern Asia,1,3873,Eastern Asia,649,0.167570359
